,Value
1222,20.7832
1223,19.2692
1224,18.9545
1225,20.8286
1226,19.605
1227,19.4276
1228,20.9291
1229,20.542
1230,22.1265
1231,23.9217
1232,23.7546
1233,40.0117
1234,27.0534
1235,27.3925
1236,24.985
1237,24.8396
1238,23.5006
1239,23.087
1240,22.4361
1241,22.2398
1242,23.6489
1243,24.5133
1244,22.411
1245,22.8444
1246,23.3225
1247,22.6015
1248,24.2903
1249,23.8559
1250,30.8904
1251,25.1351
1252,34.4733
1253,19.1988
1254,22.0539
1255,22.5738
1256,53.1571
1257,53.5392
1258,24.6017
1259,26.2649
1260,25.9361
1261,33.5126
1262,46.7475
1263,23.2894
1264,25.9268
1265,24.2778
1266,31.4393
1267,42.5439
1268,27.9799
1269,24.955
1270,26.5352
1271,25.0859
1272,23.3525
1273,23.0437
1274,22.4484
1275,22.6315
1276,23.515
1277,24.4258
1278,26.9469
1279,549.3674
1280,28.7864
1281,29.5954
1282,28.6716
1283,36.1608
1284,36.8607
1285,33.3197
1286,28.6057
1287,28.0281
1288,29.395
1289,29.7965
1290,36.5872
1291,39.518
1292,35.7154
1293,32.0684
1294,29.3256
1295,25.577
1296,24.4082
1297,26.692
1298,27.3573
1299,27.1161
1300,27.3041
1301,28.793
1302,29.2212
1303,49.5056
1304,52.3051
1305,40.5502
1306,32.6506
1307,28.8888
1308,40.5954
1309,38.7077
1310,27.9626
1311,28.2443
1312,32.9382
1313,28.8269
1314,35.5915
1315,41.3419
1316,33.0996
1317,31.7116
1318,27.4372
1319,29.9935
1320,27.1768
1321,38.1381
1322,31.4366
1323,28.4621
1324,31.8609
1325,26.5749
1326,29.3029
1327,29.948
1328,28.3874
1329,29.2498
1330,49.8396
1331,24.6177
1332,28.0331
1333,45.7463
1334,36.4237
1335,26.9317
1336,44.4787
1337,26.2622
1338,24.187
1339,21.5403
1340,48.9309
1341,19.2345
1342,15.9159
1343,17.7815
1344,18.7572
1345,21.0904
1346,19.5197
1347,24.8804
1348,15.4545
1349,22.4093
1350,23.9633
1351,28.1876
1352,24.406
1353,22.5889
1354,23.5572
1355,24.6918
1356,24.6956
1357,25.0469
1358,23.6847
1359,22.684
1360,22.7554
1361,23.4368
1362,26.2807
1363,33.8172
1364,30.0048
1365,29.8356
1366,29.3475
1367,30.2314
1368,28.1282
1369,26.4152
1370,24.6048
1371,25.0209
1372,26.0782
1373,29.7194
1374,30.3815
1375,970.6975
1376,29.3907
1377,30.6146
1378,27.8387
1379,28.8564
1380,28.2763
1381,28.7872
1382,28.8737
1383,27.7738
1384,27.9538
1385,28.651
1386,30.0105
1387,33.468
1388,29.2922
1389,30.6765
1390,30.7561
1391,30.2727
1392,25.938
1393,29.6631
1394,30.5106
1395,26.3385
1396,28.5307
1397,28.7953
1398,30.4058
1399,30.8895
1400,246.1158
1401,29.9832
1402,32.875
1403,37.7244
1404,30.5714
1405,28.4438
1406,30.0931
1407,28.8602
1408,28.8514
1409,29.7258
1410,30.0768
1411,31.3797
1412,28.0502
1413,29.4905
1414,28.3209
1415,28.5251
1416,30.5374
1417,35.582
1418,34.0409
1419,31.5622
1420,28.706
1421,29.2704
1422,27.8003
1423,28.4904
1424,27.6264
1425,29.4559
1426,28.2447
1427,25.8896
1428,25.7506
1429,26.3704
1430,25.7451
1431,26.79
1432,26.5854
1433,26.0299
1434,27.2143
1435,33.5271
1436,29.3513
1437,26.4854
1438,21.5358
1439,23.688
1440,23.4622
1441,23.1928
1442,23.4988
1443,23.8536
1444,24.0841
1445,26.307
1446,27.5194
1447,49.7079
1448,26.3771
1449,27.6225
1450,25.3039
1451,24.8512
1452,26.2112
1453,27.1685
1454,26.8758
1455,31.6836
1456,31.3958
1457,26.0332
1458,27.0759
1459,93.4475
1460,46.3624
1461,49.0528
1462,28.3878
1463,1.1247
1464,6.2379
1465,-2.5461
1466,14.288
1467,19.1934
1468,13.2244
1469,14.86
1470,22.815
1471,21.8077
1472,23.1034
1473,24.9194
1474,24.804
1475,26.0253
1476,26.2922
1477,26.4435
1478,25.8163
1479,61.5429
1480,26.6671
1481,28.1552
1482,26.9124
1483,60.7751
1484,28.8866
1485,26.2588
1486,27.4028
1487,23.8051
1488,21.4591
1489,18.4678
1490,18.2911
1491,19.0892
1492,18.8372
1493,19.6708
1494,22.011
1495,23.3801
1496,23.0586
1497,24.595
1498,27.5747
1499,25.8054
1500,24.0384
1501,26.2001
1502,23.7645
1503,27.6471
1504,27.7024
1505,34.745
1506,30.6339
1507,35.0377
1508,33.4991
1509,34.8437
1510,33.3424
1511,34.4343
1512,28.1291
1513,28.8826
1514,29.8197
1515,30.875
1516,32.4153
1517,35.3349
1518,31.6194
1519,36.6656
1520,31.1345
1521,36.2029
1522,29.0678
1523,26.0258
1524,26.4577
1525,26.921
1526,25.3807
1527,23.9544
1528,22.4868
1529,21.9225
1530,22.8939
1531,27.0711
1532,22.9949
1533,22.6783
1534,24.7544
1535,23.5295
1536,19.4568
1537,20.8067
1538,22.7917
1539,23.5483
1540,24.5866
1541,32.0074
1542,32.2484
1543,20.1303
1544,24.6303
1545,28.4669
1546,30.0977
1547,25.1575
1548,23.5992
1549,22.6007
1550,21.176
1551,21.417
1552,22.2499
1553,21.4219
1554,21.7964
1555,23.0477
1556,21.5642
1557,19.8615
1558,29.1721
1559,16.382
1560,18.4275
1561,20.0453
1562,17.7656
1563,11.9869
1564,19.9906
1565,23.3285
1566,24.354
1567,24.1971
1568,24.3711
1569,23.567
1570,23.2071
1571,25.0138
1572,22.6496
1573,22.9275
1574,21.3989
1575,20.0845
1576,20.1453
1577,20.1211
1578,20.2845
1579,20.1435
1580,44.2883
1581,29.5954
1582,21.0283
1583,10.613
1584,29.9655
1585,14.1463
1586,19.9479
1587,18.172
1588,19.0119
1589,19.1041
1590,19.4628
1591,22.07
1592,22.0119
1593,22.9918
1594,24.0578
1595,25.6719
1596,26.2711
1597,23.6617
1598,23.4766
1599,22.2734
1600,22.1586
1601,23.2217
1602,23.1957
1603,105.1157
1604,28.4934
1605,45.5523
1606,24.0573
1607,21.0317
1608,40.3453
1609,25.8383
1610,24.0899
1611,24.1292
1612,25.2201
1613,41.8362
1614,41.4418
1615,25.5763
1616,27.1086
1617,34.4439
1618,32.5807
1619,27.9955
1620,29.3132
1621,28.5718
1622,28.0661
1623,27.5972
1624,27.207
1625,27.5702
1626,28.0048
1627,29.2273
1628,52.104
1629,34.9356
1630,20.8473
1631,21.4549
1632,21.0922
1633,21.4923
1634,20.9805
1635,20.9513
1636,21.6203
1637,24.4203
1638,28.9861
1639,26.1559
1640,28.308
1641,26.474
1642,26.9458
1643,25.7785
1644,24.9309
1645,26.0645
1646,25.7845
1647,24.4363
1648,24.9035
1649,25.3656
1650,25.3648
1651,25.339
1652,23.5015
1653,21.682
1654,16.6234
1655,-1.4167
1656,17.353
1657,21.1205
1658,19.1466
1659,19.4003
1660,20.3748
1661,20.6698
1662,39.7676
1663,23.8692
1664,24.3398
1665,24.4532
1666,25.0263
1667,26.2575
1668,24.3337
1669,23.2956
1670,23.1338
1671,23.7108
1672,23.4169
1673,23.21
1674,23.3043
1675,23.4556
1676,20.5073
1677,-5.4397
1678,-15.0335
1679,-38.0265
1680,-4.417
1681,15.6068
1682,22.2215
1683,17.2299
1684,18.2566
1685,20.7575
1686,27.5492
1687,46.3568
1688,27.1186
1689,25.9038
1690,23.7276
1691,41.8837
1692,23.2019
1693,23.2595
1694,23.1358
1695,22.6433
1696,23.5391
1697,24.3578
1698,26.2558
1699,23.5651
1700,21.7048
1701,21.3601
1702,16.4497
1703,17.7851
1704,18.4648
1705,18.8216
1706,19.2917
1707,21.1416
1708,20.8058
1709,23.0578
1710,24.4532
1711,22.4613
1712,21.8077
1713,26.2887
1714,24.7796
1715,20.6164
1716,18.3481
1717,18.4477
1718,14.5199
1719,18.9861
1720,19.8935
1721,17.0646
1722,37.9033
1723,23.4489
1724,23.847
1725,19.8535
1726,16.0734
1727,-0.663
1728,17.3891
1729,20.6206
1730,17.5058
1731,16.3049
1732,17.7722
1733,18.5355
1734,19.4061
1735,19.4949
1736,20.0958
1737,29.1848
1738,21.382
1739,20.3071
1740,19.9824
1741,19.8367
1742,20.061
1743,20.1295
1744,27.0516
1745,21.556
1746,23.2194
1747,111.9185
1748,25.2597
1749,23.7035
1750,22.5119
1751,26.7016
1752,21.2156
1753,20.1888
1754,20.6582
1755,28.9072
1756,20.9578
1757,20.6144
1758,20.8571
1759,22.2632
1760,21.7344
1761,21.8625
1762,20.3796
1763,19.9561
1764,20.3608
1765,20.0292
1766,19.9832
1767,19.8125
1768,19.8651
1769,20.3041
1770,20.2466
1771,20.9536
1772,18.7267
1773,2.7835
1774,13.8472
1775,-36.6191
1776,-33.9252
1777,-35.2412
1778,-34.1386
1779,-21.1045
1780,18.1388
1781,17.8565
1782,21.2447
1783,19.1719
1784,21.0088
1785,22.3737
1786,21.759
1787,14.6843
1788,15.5725
1789,19.235
1790,17.723
1791,47.559
1792,18.4862
1793,35.2858
1794,18.4341
1795,20.3336
1796,18.2796
1797,12.9631
1798,-0.2716
1799,-38.2924
1800,10.4759
1801,37.801
1802,0.0032
1803,10.8409
1804,18.2482
1805,16.5267
1806,21.1398
1807,1.6959
1808,18.2732
1809,19.3187
1810,19.6331
1811,19.856
1812,252.2589
1813,21.3491
1814,21.2125
1815,17.8704
1816,20.3312
1817,21.3067
1818,24.1414
1819,632.1306
1820,24.7847
1821,21.1987
1822,21.8947
1823,20.5737
1824,21.1911
1825,21.2865
1826,20.8614
1827,20.6665
1828,20.8269
1829,20.9268
1830,25.5227
1831,22.2225
1832,22.7421
1833,24.0591
1834,24.1567
1835,24.3029
1836,24.4417
1837,23.758
1838,23.5393
1839,24.5946
1840,24.1223
1841,23.0808
1842,24.4147
1843,29.078
1844,24.0646
1845,22.1281
1846,20.8158
1847,19.6332
1848,20.3363
1849,20.9852
1850,21.0988
1851,20.4337
1852,22.7623
1853,29.2564
1854,39.5463
1855,24.3626
1856,26.5099
1857,29.0264
1858,29.7628
1859,26.3294
1860,26.8062
1861,23.6561
1862,22.8539
1863,22.7492
1864,22.8191
1865,22.2605
1866,21.9293
1867,26.4724
1868,23.4793
1869,23.9743
1870,22.6872
1871,20.206
1872,19.8948
1873,19.7646
1874,19.6311
1875,20.1354
1876,20.1915
1877,21.1697
1878,23.5689
1879,22.8226
1880,24.3857
1881,32.761
1882,29.6552
1883,29.7334
1884,28.2308
1885,25.7536
1886,25.6389
1887,25.5992
1888,25.5217
1889,24.2551
1890,24.515
1891,25.166
1892,26.225
1893,24.6929
1894,22.4684
1895,20.3897
